web-scraper-order,web-scraper-start-url,containers,containers-href,salle de bainbain ,adresse,pieces,image-src
"1739974143-1","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces - ngor","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-ngor-5147831","3","Ngor, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5184045_uploaded_image1_1739446884.jpg"
"1739974143-2","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces - ngor","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-ngor-5147831","3","Ngor, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5174944_uploaded_image1_1738935857.jpg"
"1739974143-3","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces - ngor","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-ngor-5147831","3","Ngor, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5193171_uploaded_image1_1739971413.jpg"
"1739974143-4","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces - ngor","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-ngor-5147831","3","Ngor, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5188094_uploaded_image1_1739703615.jpg"
"1739974143-5","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces - ngor","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-ngor-5147831","3","Ngor, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5178590_uploaded_image1_1739178749.jpg"
"1739974143-6","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces - ngor","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-ngor-5147831","3","Ngor, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5191771_uploaded_image1_1739897188.jpg"
"1739974143-7","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces - ngor","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-ngor-5147831","3","Ngor, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5147831_uploaded_image1_1737560380.jpg"
"1739974143-8","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces - ngor","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-ngor-5147831","3","Ngor, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5147824_uploaded_image1_1737560178.jpg"
"1739974143-9","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces - ngor","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-ngor-5147831","3","Ngor, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5152571_uploaded_image1_1737805147.jpg"
"1739974143-10","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces - ngor","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-ngor-5147831","3","Ngor, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5151243_uploaded_image1_1737723381.jpg"
"1739974143-11","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces - ngor","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-ngor-5147831","3","Ngor, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5180567_uploaded_image1_1739273526.jpg"
"1739974143-12","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces - ngor","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-ngor-5147831","3","Ngor, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5170947_uploaded_image1_1738750854.jpg"
"1739974150-13","https://sn.coinafrique.com/categorie/appartements","Location appartement en duplex aux Almadies","https://sn.coinafrique.com/annonce/appartements/location-appartement-en-duplex-aux-almadies-5191735","3","Almadies, Dakar, Sénégal","4","https://images.coinafrique.com/thumb_5191735_uploaded_image1_1739896078.jpg"
"1739974150-14","https://sn.coinafrique.com/categorie/appartements","Location appartement en duplex aux Almadies","https://sn.coinafrique.com/annonce/appartements/location-appartement-en-duplex-aux-almadies-5191735","3","Almadies, Dakar, Sénégal","4","https://images.coinafrique.com/thumb_5157241_uploaded_image1_1738071563.jpg"
"1739974150-15","https://sn.coinafrique.com/categorie/appartements","Location appartement en duplex aux Almadies","https://sn.coinafrique.com/annonce/appartements/location-appartement-en-duplex-aux-almadies-5191735","3","Almadies, Dakar, Sénégal","4","https://images.coinafrique.com/thumb_5138861_uploaded_image1_1737063438.jpg"
"1739974150-16","https://sn.coinafrique.com/categorie/appartements","Location appartement en duplex aux Almadies","https://sn.coinafrique.com/annonce/appartements/location-appartement-en-duplex-aux-almadies-5191735","3","Almadies, Dakar, Sénégal","4","https://images.coinafrique.com/thumb_5018445_uploaded_image1_1730307736.jpg"
"1739974150-17","https://sn.coinafrique.com/categorie/appartements","Location appartement en duplex aux Almadies","https://sn.coinafrique.com/annonce/appartements/location-appartement-en-duplex-aux-almadies-5191735","3","Almadies, Dakar, Sénégal","4","https://images.coinafrique.com/thumb_4880621_uploaded_image1_1722963700.jpg"
"1739974150-18","https://sn.coinafrique.com/categorie/appartements","Location appartement en duplex aux Almadies","https://sn.coinafrique.com/annonce/appartements/location-appartement-en-duplex-aux-almadies-5191735","3","Almadies, Dakar, Sénégal","4","https://images.coinafrique.com/thumb_4838448_uploaded_image1_1720713557.jpg"
"1739974150-19","https://sn.coinafrique.com/categorie/appartements","Location appartement en duplex aux Almadies","https://sn.coinafrique.com/annonce/appartements/location-appartement-en-duplex-aux-almadies-5191735","3","Almadies, Dakar, Sénégal","4","https://images.coinafrique.com/thumb_4832355_uploaded_image1_1720445180.jpg"
"1739974150-20","https://sn.coinafrique.com/categorie/appartements","Location appartement en duplex aux Almadies","https://sn.coinafrique.com/annonce/appartements/location-appartement-en-duplex-aux-almadies-5191735","3","Almadies, Dakar, Sénégal","4","https://images.coinafrique.com/thumb_4784845_uploaded_image1_1717774404.jpg"
"1739974155-21","https://sn.coinafrique.com/categorie/appartements","Location studio 2 pièces - Mamelles Mbackiyou faye","https://sn.coinafrique.com/annonce/appartements/location-studio-2-pieces-mamelles-mbackiyou-faye-5182644","2","Mamelles, Dakar, Sénégal","2","https://images.coinafrique.com/thumb_5182644_uploaded_image1_1739377153.jpg"
"1739974155-22","https://sn.coinafrique.com/categorie/appartements","Location studio 2 pièces - Mamelles Mbackiyou faye","https://sn.coinafrique.com/annonce/appartements/location-studio-2-pieces-mamelles-mbackiyou-faye-5182644","2","Mamelles, Dakar, Sénégal","2","https://images.coinafrique.com/thumb_5189874_uploaded_image1_1739807218.jpg"
"1739974155-23","https://sn.coinafrique.com/categorie/appartements","Location studio 2 pièces - Mamelles Mbackiyou faye","https://sn.coinafrique.com/annonce/appartements/location-studio-2-pieces-mamelles-mbackiyou-faye-5182644","2","Mamelles, Dakar, Sénégal","2","https://images.coinafrique.com/thumb_4449556_uploaded_image1_1699468917.jpg"
"1739974155-24","https://sn.coinafrique.com/categorie/appartements","Location studio 2 pièces - Mamelles Mbackiyou faye","https://sn.coinafrique.com/annonce/appartements/location-studio-2-pieces-mamelles-mbackiyou-faye-5182644","2","Mamelles, Dakar, Sénégal","2","https://images.coinafrique.com/thumb_4370620_uploaded_image1_1694306464.jpg"
"1739974159-25","https://sn.coinafrique.com/categorie/appartements","Location appartements 4 pièces - Mamelles","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-mamelles-5191743","2","Mamelles, Dakar, Sénégal","4","https://images.coinafrique.com/thumb_5191748_uploaded_image1_1739896434.jpg"
"1739974159-26","https://sn.coinafrique.com/categorie/appartements","Location appartements 4 pièces - Mamelles","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-mamelles-5191743","2","Mamelles, Dakar, Sénégal","4","https://images.coinafrique.com/thumb_5191743_uploaded_image1_1739896315.jpg"
"1739974159-27","https://sn.coinafrique.com/categorie/appartements","Location appartements 4 pièces - Mamelles","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-mamelles-5191743","2","Mamelles, Dakar, Sénégal","4","https://images.coinafrique.com/thumb_5164977_uploaded_image1_1738461687.jpg"
"1739974159-28","https://sn.coinafrique.com/categorie/appartements","Location appartements 4 pièces - Mamelles","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-mamelles-5191743","2","Mamelles, Dakar, Sénégal","4","https://images.coinafrique.com/thumb_5132271_uploaded_image1_1736763774.jpg"
"1739974159-29","https://sn.coinafrique.com/categorie/appartements","Location appartements 4 pièces - Mamelles","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-mamelles-5191743","2","Mamelles, Dakar, Sénégal","4","https://images.coinafrique.com/thumb_5130058_uploaded_image1_1736597210.jpg"
"1739974159-30","https://sn.coinafrique.com/categorie/appartements","Location appartements 4 pièces - Mamelles","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-mamelles-5191743","2","Mamelles, Dakar, Sénégal","4","https://images.coinafrique.com/thumb_5092182_uploaded_image1_1734207198.jpg"
"1739974159-31","https://sn.coinafrique.com/categorie/appartements","Location appartements 4 pièces - Mamelles","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-mamelles-5191743","2","Mamelles, Dakar, Sénégal","4","https://images.coinafrique.com/thumb_5085237_uploaded_image1_1733841072.jpg"
"1739974164-32","https://sn.coinafrique.com/categorie/appartements","Location appartements 4 pièces - Mamelles","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-mamelles-5191748","3","Mamelles, Dakar, Sénégal","4","https://images.coinafrique.com/thumb_5191748_uploaded_image1_1739896434.jpg"
"1739974164-33","https://sn.coinafrique.com/categorie/appartements","Location appartements 4 pièces - Mamelles","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-mamelles-5191748","3","Mamelles, Dakar, Sénégal","4","https://images.coinafrique.com/thumb_5191743_uploaded_image1_1739896315.jpg"
"1739974164-34","https://sn.coinafrique.com/categorie/appartements","Location appartements 4 pièces - Mamelles","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-mamelles-5191748","3","Mamelles, Dakar, Sénégal","4","https://images.coinafrique.com/thumb_5164977_uploaded_image1_1738461687.jpg"
"1739974164-35","https://sn.coinafrique.com/categorie/appartements","Location appartements 4 pièces - Mamelles","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-mamelles-5191748","3","Mamelles, Dakar, Sénégal","4","https://images.coinafrique.com/thumb_5132271_uploaded_image1_1736763774.jpg"
"1739974164-36","https://sn.coinafrique.com/categorie/appartements","Location appartements 4 pièces - Mamelles","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-mamelles-5191748","3","Mamelles, Dakar, Sénégal","4","https://images.coinafrique.com/thumb_5130058_uploaded_image1_1736597210.jpg"
"1739974164-37","https://sn.coinafrique.com/categorie/appartements","Location appartements 4 pièces - Mamelles","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-mamelles-5191748","3","Mamelles, Dakar, Sénégal","4","https://images.coinafrique.com/thumb_5092182_uploaded_image1_1734207198.jpg"
"1739974164-38","https://sn.coinafrique.com/categorie/appartements","Location appartements 4 pièces - Mamelles","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-mamelles-5191748","3","Mamelles, Dakar, Sénégal","4","https://images.coinafrique.com/thumb_5085237_uploaded_image1_1733841072.jpg"
"1739974168-39","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces - Mamelles","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-mamelles-5191762","1","Mamelles, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_4830576_uploaded_image1_1720356514.jpg"
"1739974168-40","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces - Mamelles","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-mamelles-5191762","1","Mamelles, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5163420_uploaded_image1_1738372534.jpg"
"1739974168-41","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces - Mamelles","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-mamelles-5191762","1","Mamelles, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5183295_uploaded_image1_1739403368.jpg"
"1739974168-42","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces - Mamelles","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-mamelles-5191762","1","Mamelles, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5191762_uploaded_image1_1739896815.jpg"
"1739974168-43","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces - Mamelles","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-mamelles-5191762","1","Mamelles, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5191748_uploaded_image1_1739896434.jpg"
"1739974168-44","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces - Mamelles","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-mamelles-5191762","1","Mamelles, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5191743_uploaded_image1_1739896315.jpg"
"1739974168-45","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces - Mamelles","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-mamelles-5191762","1","Mamelles, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5164977_uploaded_image1_1738461687.jpg"
"1739974173-46","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces - Ngor","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-ngor-5191771","1","Ngor, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5184045_uploaded_image1_1739446884.jpg"
"1739974173-47","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces - Ngor","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-ngor-5191771","1","Ngor, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5174944_uploaded_image1_1738935857.jpg"
"1739974173-48","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces - Ngor","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-ngor-5191771","1","Ngor, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5193171_uploaded_image1_1739971413.jpg"
"1739974173-49","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces - Ngor","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-ngor-5191771","1","Ngor, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5188094_uploaded_image1_1739703615.jpg"
"1739974173-50","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces - Ngor","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-ngor-5191771","1","Ngor, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5178590_uploaded_image1_1739178749.jpg"
"1739974173-51","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces - Ngor","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-ngor-5191771","1","Ngor, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5191771_uploaded_image1_1739897188.jpg"
"1739974173-52","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces - Ngor","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-ngor-5191771","1","Ngor, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5147831_uploaded_image1_1737560380.jpg"
"1739974173-53","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces - Ngor","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-ngor-5191771","1","Ngor, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5147824_uploaded_image1_1737560178.jpg"
"1739974173-54","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces - Ngor","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-ngor-5191771","1","Ngor, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5152571_uploaded_image1_1737805147.jpg"
"1739974173-55","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces - Ngor","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-ngor-5191771","1","Ngor, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5151243_uploaded_image1_1737723381.jpg"
"1739974173-56","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces - Ngor","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-ngor-5191771","1","Ngor, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5180567_uploaded_image1_1739273526.jpg"
"1739974173-57","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces - Ngor","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-ngor-5191771","1","Ngor, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5170947_uploaded_image1_1738750854.jpg"
"1739974179-58","https://sn.coinafrique.com/categorie/appartements","Location studio 2pièces - Yoff aéroport","https://sn.coinafrique.com/annonce/appartements/location-studio-2pieces-yoff-aeroport-5157541","1","Yoff, Dakar, Sénégal","2","https://images.coinafrique.com/thumb_5157541_uploaded_image1_1738080953.jpg"
"1739974185-59","https://sn.coinafrique.com/categorie/appartements","Location appartements 4pièces - Yoff aéroport","https://sn.coinafrique.com/annonce/appartements/location-appartements-4pieces-yoff-aeroport-5157538","3","Yoff, Dakar, Sénégal","4","https://images.coinafrique.com/thumb_5157549_uploaded_image1_1738081174.jpg"
"1739974185-60","https://sn.coinafrique.com/categorie/appartements","Location appartements 4pièces - Yoff aéroport","https://sn.coinafrique.com/annonce/appartements/location-appartements-4pieces-yoff-aeroport-5157538","3","Yoff, Dakar, Sénégal","4","https://images.coinafrique.com/thumb_5157538_uploaded_image1_1738080799.jpg"
"1739974185-61","https://sn.coinafrique.com/categorie/appartements","Location appartements 4pièces - Yoff aéroport","https://sn.coinafrique.com/annonce/appartements/location-appartements-4pieces-yoff-aeroport-5157538","3","Yoff, Dakar, Sénégal","4","https://images.coinafrique.com/thumb_5011761_uploaded_image1_1729898829.jpg"
"1739974190-62","https://sn.coinafrique.com/categorie/appartements","Location appartements 4pièces -Yoff aéroport","https://sn.coinafrique.com/annonce/appartements/location-appartements-4pieces-yoff-aeroport-5157549","3","Yoff, Dakar, Sénégal","4","https://images.coinafrique.com/thumb_5157549_uploaded_image1_1738081174.jpg"
"1739974190-63","https://sn.coinafrique.com/categorie/appartements","Location appartements 4pièces -Yoff aéroport","https://sn.coinafrique.com/annonce/appartements/location-appartements-4pieces-yoff-aeroport-5157549","3","Yoff, Dakar, Sénégal","4","https://images.coinafrique.com/thumb_5157538_uploaded_image1_1738080799.jpg"
"1739974190-64","https://sn.coinafrique.com/categorie/appartements","Location appartements 4pièces -Yoff aéroport","https://sn.coinafrique.com/annonce/appartements/location-appartements-4pieces-yoff-aeroport-5157549","3","Yoff, Dakar, Sénégal","4","https://images.coinafrique.com/thumb_5011761_uploaded_image1_1729898829.jpg"
"1739974195-65","https://sn.coinafrique.com/categorie/appartements","Location appartements 2pièces -Ngor","https://sn.coinafrique.com/annonce/appartements/location-appartements-2pieces-ngor-5191790","1","Ngor, Dakar, Sénégal","2","https://images.coinafrique.com/thumb_5191790_uploaded_image1_1739897995.jpg"
"1739974195-66","https://sn.coinafrique.com/categorie/appartements","Location appartements 2pièces -Ngor","https://sn.coinafrique.com/annonce/appartements/location-appartements-2pieces-ngor-5191790","1","Ngor, Dakar, Sénégal","2","https://images.coinafrique.com/thumb_5101044_uploaded_image1_1734713362.jpg"
"1739974202-67","https://sn.coinafrique.com/categorie/appartements","Location studio -Mermoz","https://sn.coinafrique.com/annonce/appartements/location-studio-mermoz-5179435","2","Mermoz-Sacré Coeur, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5166809_uploaded_image1_1738581381.jpg"
"1739974202-68","https://sn.coinafrique.com/categorie/appartements","Location studio -Mermoz","https://sn.coinafrique.com/annonce/appartements/location-studio-mermoz-5179435","2","Mermoz-Sacré Coeur, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5156343_uploaded_image1_1738024140.jpg"
"1739974202-69","https://sn.coinafrique.com/categorie/appartements","Location studio -Mermoz","https://sn.coinafrique.com/annonce/appartements/location-studio-mermoz-5179435","2","Mermoz-Sacré Coeur, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5171994_uploaded_image1_1738787498.jpg"
"1739974202-70","https://sn.coinafrique.com/categorie/appartements","Location studio -Mermoz","https://sn.coinafrique.com/annonce/appartements/location-studio-mermoz-5179435","2","Mermoz-Sacré Coeur, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5151594_uploaded_image1_1737738597.jpg"
"1739974202-71","https://sn.coinafrique.com/categorie/appartements","Location studio -Mermoz","https://sn.coinafrique.com/annonce/appartements/location-studio-mermoz-5179435","2","Mermoz-Sacré Coeur, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5179435_uploaded_image1_1739208341.jpg"
"1739974202-72","https://sn.coinafrique.com/categorie/appartements","Location studio -Mermoz","https://sn.coinafrique.com/annonce/appartements/location-studio-mermoz-5179435","2","Mermoz-Sacré Coeur, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5150203_uploaded_image1_1737664265.jpg"
"1739974202-73","https://sn.coinafrique.com/categorie/appartements","Location studio -Mermoz","https://sn.coinafrique.com/annonce/appartements/location-studio-mermoz-5179435","2","Mermoz-Sacré Coeur, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5114756_uploaded_image1_1735745265.jpg"
"1739974202-74","https://sn.coinafrique.com/categorie/appartements","Location studio -Mermoz","https://sn.coinafrique.com/annonce/appartements/location-studio-mermoz-5179435","2","Mermoz-Sacré Coeur, Dakar, Sénégal","3","https://images.coinafrique.com/thumb_5096108_uploaded_image1_1734450346.jpg"
"1739974209-75","https://sn.coinafrique.com/categorie/appartements","Location appartement duplex 4pièces -Fann résidence","https://sn.coinafrique.com/annonce/appartements/location-appartement-duplex-4pieces-fann-residence-5149826","","Fann, Dakar, Sénégal","4","https://images.coinafrique.com/thumb_5149826_uploaded_image1_1737650537.jpg"
"1739974216-76","https://sn.coinafrique.com/categorie/appartements","Location appartement 4pièces -Sipres Mermoz","https://sn.coinafrique.com/annonce/appartements/location-appartement-4pieces-sipres-mermoz-5149856","","Sipres, Dakar, Sénégal","","https://images.coinafrique.com/thumb_5149856_uploaded_image1_1737651234.jpg"
"1739974216-77","https://sn.coinafrique.com/categorie/appartements","Location appartement 4pièces -Sipres Mermoz","https://sn.coinafrique.com/annonce/appartements/location-appartement-4pieces-sipres-mermoz-5149856","","Sipres, Dakar, Sénégal","","https://images.coinafrique.com/thumb_5171817_uploaded_image1_1738779270.jpg"
"1739974226-78","https://sn.coinafrique.com/categorie/appartements","Location studio -Mermoz","https://sn.coinafrique.com/annonce/appartements/location-studio-mermoz-5151594","2","Mermoz-Sacré Coeur, Dakar, Sénégal","2","https://images.coinafrique.com/thumb_5166809_uploaded_image1_1738581381.jpg"
"1739974226-79","https://sn.coinafrique.com/categorie/appartements","Location studio -Mermoz","https://sn.coinafrique.com/annonce/appartements/location-studio-mermoz-5151594","2","Mermoz-Sacré Coeur, Dakar, Sénégal","2","https://images.coinafrique.com/thumb_5156343_uploaded_image1_1738024140.jpg"
"1739974226-80","https://sn.coinafrique.com/categorie/appartements","Location studio -Mermoz","https://sn.coinafrique.com/annonce/appartements/location-studio-mermoz-5151594","2","Mermoz-Sacré Coeur, Dakar, Sénégal","2","https://images.coinafrique.com/thumb_5171994_uploaded_image1_1738787498.jpg"
"1739974226-81","https://sn.coinafrique.com/categorie/appartements","Location studio -Mermoz","https://sn.coinafrique.com/annonce/appartements/location-studio-mermoz-5151594","2","Mermoz-Sacré Coeur, Dakar, Sénégal","2","https://images.coinafrique.com/thumb_5151594_uploaded_image1_1737738597.jpg"
"1739974226-82","https://sn.coinafrique.com/categorie/appartements","Location studio -Mermoz","https://sn.coinafrique.com/annonce/appartements/location-studio-mermoz-5151594","2","Mermoz-Sacré Coeur, Dakar, Sénégal","2","https://images.coinafrique.com/thumb_5179435_uploaded_image1_1739208341.jpg"
"1739974226-83","https://sn.coinafrique.com/categorie/appartements","Location studio -Mermoz","https://sn.coinafrique.com/annonce/appartements/location-studio-mermoz-5151594","2","Mermoz-Sacré Coeur, Dakar, Sénégal","2","https://images.coinafrique.com/thumb_5150203_uploaded_image1_1737664265.jpg"
"1739974226-84","https://sn.coinafrique.com/categorie/appartements","Location studio -Mermoz","https://sn.coinafrique.com/annonce/appartements/location-studio-mermoz-5151594","2","Mermoz-Sacré Coeur, Dakar, Sénégal","2","https://images.coinafrique.com/thumb_5114756_uploaded_image1_1735745265.jpg"
"1739974226-85","https://sn.coinafrique.com/categorie/appartements","Location studio -Mermoz","https://sn.coinafrique.com/annonce/appartements/location-studio-mermoz-5151594","2","Mermoz-Sacré Coeur, Dakar, Sénégal","2","https://images.coinafrique.com/thumb_5096108_uploaded_image1_1734450346.jpg"
